reactome ,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,col1,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-ATH-1119567,Beta-alanine biosynthesis I,2,7,5,28,0.005747126437,0.9999925363,0.9999925363,4,5,0.006747638327,-0.1136163243,3702,Arabidopsis thaliana,AT4G36250;AT5G13700,AT4G36250;AT5G13700,AT4G14210;AT3G04870;AT5G14220;AT2G41100;AT4G01690,AT4G29720;AT5G13700,R-ATH-1121008;R-ATH-9658680;R-ATH-9658670;R-ATH-9658638
R-ATH-1119297,Beta-alanine biosynthesis III,1,3,11,47,0.002463054187,0.9999954652,0.9999954652,3,3,0.004048582996,-0.08379452408,3702,Arabidopsis thaliana,AT5G64370,AT5G64370,AT5G43780;AT4G04955;AT3G20330;AT3G27740;AT1G22280;AT5G40780;AT4G11840;AT4G22930;AT3G12740;AT3G63080;AT1G27930,AT3G17810;AT5G12200;AT5G64370,R-ATH-1121367;R-ATH-1120121;R-ATH-9658706
R-ATH-1119384,NAD biosynthesis I (from aspartate),2,4,27,79,0.00328407225,0.9999956972,0.9999956972,4,4,0.005398110661,0.102294718,3702,Arabidopsis thaliana,AT5G50210;AT2G01350,AT5G50210;AT2G01350,AT5G20320;AT1G31190;AT5G50210;AT3G02870;AT1G14610;AT3G44300;AT3G17240;AT3G44320;AT2G25710;AT2G27450;AT3G24590;AT2G27490;AT5G62790;AT3G21560;AT2G30440;AT3G43920;AT4G23990;AT5G64370;AT5G36950;AT3G20420;AT1G48030;AT1G01040;AT3G44310;AT4G01900;AT2G01350;AT4G01800;AT1G09700,AT5G14760;AT5G50210;AT1G55090;AT2G01350,R-ATH-1119990;R-ATH-1121149;R-ATH-1119946;R-ATH-1120675
R-ATH-1119458,Glutamate degradation,2,4,9,42,0.00328407225,0.9999961359,0.9999961359,2,3,0.004048582996,-0.4089680304,3702,Arabidopsis thaliana,AT1G79440;AT3G22200,AT1G79440;AT3G22200,AT2G21660;AT3G08860;AT5G11670;AT2G36390;AT2G28900;AT4G39260;AT2G17840;AT4G32551;AT5G66880,AT3G22200;AT1G79440,R-ATH-1121368;R-ATH-1120519
R-ATH-1119631,Proline biosynthesis I,3,3,16,61,0.002463054187,0.9999965071,0.9999965071,3,3,0.004048582996,0.002466265895,3702,Arabidopsis thaliana,AT5G14800;AT2G39800;AT3G55610,AT5G14800;AT2G39800;AT3G55610,AT1G14320;AT2G29460;AT4G00100;AT3G49010;AT1G56330;AT5G64000;AT4G09320;AT4G23660;AT1G65290;AT1G26630;AT1G22780;AT5G59870;AT1G43170;AT1G69620;AT2G04450;AT2G21790,AT5G14800,R-ATH-1120144;R-ATH-1121255;R-ATH-1121416
R-ATH-1119370,Sterol biosynthesis,6,8,4,36,0.006568144499,0.9999968006,0.9999968006,6,7,0.009446693657,0.1472669979,3702,Arabidopsis thaliana,AT1G50430;AT5G13710;AT1G20050;AT3G52940;AT4G34650;AT4G34640,AT1G50430;AT5G13710;AT1G20050;AT3G52940;AT4G34650;AT4G34640,AT1G22780;AT3G25100;AT2G47170;AT4G17970,AT1G20050;AT1G50430,R-ATH-1119792;R-ATH-1120024;R-ATH-1121264;R-ATH-1121246;R-ATH-1120757;R-ATH-1120616
R-ATH-5655101,Xyloglucan biosynthesis,5,15,2,22,0.01231527094,0.9999975141,0.9999975141,2,3,0.004048582996,0.006368894429,3702,Arabidopsis thaliana,AT2G15390;AT1G74420;AT1G14080;AT2G03220;AT2G15370,AT2G15390;AT1G74420;AT1G14080;AT2G03220;AT2G15370,AT5G22940;AT2G28110,AT2G20370,R-ATH-5655081;R-ATH-5655049
R-ATH-1119267,Phenylalanine degradation III,1,5,6,32,0.004105090312,0.9999975141,0.9999975141,1,2,0.002699055331,-0.01103699729,3702,Arabidopsis thaliana,AT5G43940,AT5G43940,AT3G10920;AT5G04590;AT1G50010;AT5G12140;AT5G16970;AT2G41530,AT5G43940,R-ATH-1120796
R-ATH-9025727,Iron uptake and transport in root vascular system,1,4,7,36,0.00328407225,0.9999980387,0.9999980387,6,6,0.008097165992,0.3264456623,3702,Arabidopsis thaliana,AT5G24380,AT5G24380,AT2G20750;AT5G14570;AT2G38060;AT3G47420;AT1G68100;AT1G08090;AT3G45060,AT3G43790;AT2G04032,R-ATH-9025817;R-ATH-9025763;R-ATH-9025748;R-ATH-9025746;R-ATH-9025726;R-ATH-9025776
R-ATH-1119332,Jasmonic acid biosynthesis,3,9,5,32,0.007389162562,0.9999988611,0.9999988611,3,4,0.005398110661,0.072140933,3702,Arabidopsis thaliana,AT3G45140;AT1G17420;AT2G06050,AT3G45140;AT1G17420;AT2G06050,AT5G63810;AT3G46970;AT4G25910;AT5G01240;AT1G20010,AT2G06925,R-ATH-1119658;R-ATH-1120101;R-ATH-1120738
R-ATH-5633340,Citrulline-nitric oxide cycle,0,2,5,32,0.001642036125,0.9999993982,0.9999993982,2,2,0.002699055331,-0.0385531684,3702,Arabidopsis thaliana,,,AT2G19480;AT5G46180;AT3G57560;AT5G55810;AT1G80600,AT4G24830;AT3G47450,R-ATH-5633341;R-ATH-1120995
R-ATH-1119412,Chlorophyll a biosynthesis I,0,1,18,66,8.21E-04,0.9999996628,0.9999996628,1,1,0.001349527665,0.4218792068,3702,Arabidopsis thaliana,,,AT3G05530;AT1G62750;AT2G06990;AT4G18480;AT1G04270;AT5G17870;AT4G03280;AT4G23660;AT5G62050;AT4G17600;AT1G72370;AT5G08470;AT2G05840;AT1G60600;AT1G42970;AT4G37930;AT4G38970;AT5G05920,AT3G51820,R-ATH-1121245
R-ATH-1119289,Arginine degradation,4,5,19,73,0.004105090312,0.9999996832,0.9999996832,4,4,0.005398110661,-0.07014004209,3702,Arabidopsis thaliana,AT5G14800;AT4G08900;AT5G46180;AT4G08870,AT5G14800;AT4G08900;AT5G46180;AT4G08870,AT1G14320;AT2G29460;AT4G00100;AT3G49010;AT1G56330;AT3G57560;AT5G64000;AT4G09320;AT4G23660;AT1G65290;AT1G26630;AT4G34240;AT1G22780;AT5G59870;AT1G43170;AT5G33320;AT1G69620;AT2G04450;AT2G21790,AT5G46180;AT5G62530;AT5G14800,R-ATH-5631956;R-ATH-5631977;R-ATH-5631974;R-ATH-9031496
R-ATH-9609352,Lycopene catabolism,1,1,10,50,8.21E-04,0.9999996999,0.9999996999,1,1,0.001349527665,-0.09594639636,3702,Arabidopsis thaliana,AT3G63520,AT3G63520,AT5G63800;AT2G15050;AT5G49630;AT5G09220;AT4G11600;AT1G78680;AT5G01220;AT5G67310;AT4G15490;AT4G23990,AT3G63520,R-ATH-9609345
R-ATH-1119486,IAA biosynthesis I,4,27,1,9,0.02216748768,0.9999998186,0.9999998186,2,8,0.01079622132,0.2624706884,3702,Arabidopsis thaliana,AT4G39950;AT2G22330;AT1G16410;AT1G16400,AT4G39950;AT2G22330;AT1G16410;AT1G16400,AT5G50240,AT5G22300,R-ATH-1120968;R-ATH-1121589
R-ATH-1119492,Lactucaxanthin biosynthesis,1,1,2,29,8.21E-04,0.9999998476,0.9999998476,2,2,0.002699055331,-0.010435776,3702,Arabidopsis thaliana,AT3G53130,AT3G53130,AT5G38970;AT1G78490,AT3G53130,R-ATH-1121624;R-ATH-1120470
R-ATH-1119443,Ammonia assimilation cycle,6,6,58,154,0.004926108374,0.999999933,0.999999933,3,3,0.004048582996,0.3467128563,3702,Arabidopsis thaliana,AT5G37600;AT5G35630;AT1G48470;AT5G04140;AT1G66200;AT2G41220,AT5G37600;AT5G35630;AT1G48470;AT5G04140;AT1G66200;AT2G41220,AT4G25100;AT4G27960;AT4G04640;AT1G67740;AT5G53300;AT3G54050;AT1G72610;AT1G23290;AT4G09650;AT2G36530;AT1G15820;AT1G26630;AT4G05180;AT1G72370;AT2G37270;AT3G17820;AT4G38970;AT3G04120;AT5G37600;AT4G13940;AT2G46820;AT3G16140;AT3G12780;AT4G25080;AT4G37930;AT4G34620;AT3G09260;AT1G56070;AT3G02470;AT3G02230;AT5G46110;AT4G21280;AT3G55440;AT3G53420;AT1G04270;AT5G17870;AT5G15650;AT3G26520;AT3G61440;AT3G11940;AT3G55800;AT3G13920;AT5G20720;AT3G56940;AT1G14320;AT3G49010;AT5G16570;AT1G07890;AT1G66200;AT4G03280;AT2G30860;AT3G16640;AT1G48470;AT3G16240;AT4G01900;AT1G42970;AT3G11630;AT5G02500,AT5G35630,R-ATH-1121661;R-ATH-5603478;R-ATH-1121516
R-ATH-1119451,Xylose degradation,1,2,1,26,0.001642036125,0.9999999472,0.9999999472,1,2,0.002699055331,-0.175457344,3702,Arabidopsis thaliana,AT5G49650,AT5G49650,AT1G80460,AT5G49650,R-ATH-1121240
R-ATH-1119318,Proline biosynthesis V (from arginine),2,3,24,86,0.002463054187,0.9999999603,0.9999999603,3,3,0.004048582996,-0.1064237608,3702,Arabidopsis thaliana,AT5G14800;AT5G46180,AT5G14800;AT5G46180,AT1G14320;AT2G29460;AT4G00100;AT3G49010;AT3G08860;AT1G56330;AT5G61250;AT5G46180;AT3G57560;AT5G64000;AT4G09320;AT4G23660;AT1G65290;AT1G26630;AT1G22780;AT5G59870;AT2G18160;AT1G43170;AT1G69620;AT5G13280;AT2G04450;AT1G80600;AT2G21790;AT2G42680,AT5G46180;AT1G75330;AT5G14800,R-ATH-1121255;R-ATH-1120119;R-ATH-1120302
R-ATH-1119602,Phytyl-PP biosynthesis,0,1,37,111,8.21E-04,0.9999999613,0.9999999613,3,3,0.004048582996,0.2926830975,3702,Arabidopsis thaliana,,,AT3G53460;AT3G54890;AT3G53420;AT1G67740;AT1G04270;AT4G35090;AT1G68010;AT2G14100;AT4G09650;AT2G30570;AT4G22890;AT2G45960;AT2G37170;AT5G61410;AT5G09660;AT4G31300;AT2G28000;AT3G56940;AT3G49010;AT3G26650;AT1G58440;AT4G05320;AT5G24150;AT4G09320;AT4G02890;AT5G45390;AT2G38540;AT1G29930;AT1G22780;AT2G46820;AT3G16140;AT4G25080;AT1G13060;AT1G07320;AT1G23310;AT3G11630;AT2G24790,AT1G74470,R-ATH-1121455;R-ATH-1120245;R-ATH-1120383
R-ATH-1119605,Chlorophyll a biosynthesis II,0,1,37,111,8.21E-04,0.9999999613,0.9999999613,3,3,0.004048582996,0.2926830975,3702,Arabidopsis thaliana,,,AT3G53460;AT3G54890;AT3G53420;AT1G67740;AT1G04270;AT4G35090;AT1G68010;AT2G14100;AT4G09650;AT2G30570;AT4G22890;AT2G45960;AT2G37170;AT5G61410;AT5G09660;AT4G31300;AT2G28000;AT3G56940;AT3G49010;AT3G26650;AT1G58440;AT4G05320;AT5G24150;AT4G09320;AT4G02890;AT5G45390;AT2G38540;AT1G29930;AT1G22780;AT2G46820;AT3G16140;AT4G25080;AT1G13060;AT1G07320;AT1G23310;AT3G11630;AT2G24790,AT1G74470,R-ATH-1119845;R-ATH-1120640;R-ATH-1120803
R-ATH-9640760,G1 phase,10,14,39,115,0.01149425287,0.9999999614,0.9999999614,4,4,0.005398110661,-3.10E-04,3702,Arabidopsis thaliana,AT5G67260;AT5G10440;AT4G34160;AT1G73690;AT5G27620;AT1G70210;AT3G48750;AT5G65420;AT2G22490;AT3G50070,AT5G67260;AT5G10440;AT4G34160;AT1G73690;AT5G27620;AT1G70210;AT3G48750;AT5G65420;AT2G22490;AT3G50070,AT1G14750;AT4G27800;AT1G34460;AT1G16330;AT2G01905;AT3G50070;AT5G11300;AT3G13380;AT5G06150;AT4G26080;AT1G72770;AT5G61410;AT1G76310;AT1G70210;AT1G02880;AT2G44750;AT2G41880;AT3G11520;AT5G19280;AT4G36650;AT5G67260;AT1G15570;AT1G17550;AT5G65420;AT3G57550;AT5G25380;AT2G30020;AT4G34160;AT5G10440;AT1G22280;AT2G25620;AT4G37490;AT2G41630;AT2G22490;AT2G26430;AT4G31750;AT1G77390;AT5G57050;AT4G37630,AT3G48750;AT5G27620,R-ATH-9640766;R-ATH-9640674;R-ATH-9640693;R-ATH-9640682
R-ATH-1119293,Glutamine biosynthesis I,4,4,58,154,0.00328407225,0.9999999635,0.9999999635,2,2,0.002699055331,0.3496359422,3702,Arabidopsis thaliana,AT5G37600;AT5G35630;AT1G48470;AT1G66200,AT5G37600;AT5G35630;AT1G48470;AT1G66200,AT4G25100;AT4G27960;AT4G04640;AT1G67740;AT5G53300;AT3G54050;AT1G72610;AT1G23290;AT4G09650;AT2G36530;AT1G15820;AT1G26630;AT4G05180;AT1G72370;AT2G37270;AT3G17820;AT4G38970;AT3G04120;AT5G37600;AT4G13940;AT2G46820;AT3G16140;AT3G12780;AT4G25080;AT4G37930;AT4G34620;AT3G09260;AT1G56070;AT3G02470;AT3G02230;AT5G46110;AT4G21280;AT3G55440;AT3G53420;AT1G04270;AT5G17870;AT5G15650;AT3G26520;AT3G61440;AT3G11940;AT3G55800;AT3G13920;AT5G20720;AT3G56940;AT1G14320;AT3G49010;AT5G16570;AT1G07890;AT1G66200;AT4G03280;AT2G30860;AT3G16640;AT1G48470;AT3G16240;AT4G01900;AT1G42970;AT3G11630;AT5G02500,AT5G35630,R-ATH-5603478;R-ATH-1121516
R-ATH-1119612,Cysteine degradation,1,5,61,158,0.004105090312,0.9999999676,0.9999999676,3,5,0.006747638327,-0.1808097175,3702,Arabidopsis thaliana,AT1G53580,AT1G53580,AT1G31190;AT3G22460;AT3G20960;AT5G60600;AT5G28020;AT3G20110;AT5G09220;AT5G63310;AT3G14630;AT1G52160;AT5G24900;AT4G37400;AT2G27010;AT5G47990;AT3G50660;AT5G23880;AT1G10500;AT5G63980;AT4G09320;AT2G13360;AT3G16260;AT2G38050;AT5G36110;AT2G26710;AT5G38970;AT3G14680;AT1G75130;AT5G38450;AT4G14790;AT3G20080;AT4G35630;AT5G25900;AT1G11680;AT3G21070;AT5G63570;AT3G02870;AT3G14690;AT3G20940;AT3G14650;AT3G20130;AT3G14610;AT3G10570;AT4G15393;AT4G39120;AT1G02560;AT4G15396;AT4G19230;AT3G20090;AT3G04940;AT5G05690;AT1G31800;AT4G15300;AT3G14660;AT3G14620;AT1G79230;AT1G01620;AT2G02580;AT1G62800;AT4G37310;AT5G24910;AT1G64900,AT1G53580;AT5G65720;AT3G01910,R-ATH-9612370;R-ATH-9612379;R-ATH-5606288
R-ATH-1119539,Ornithine biosynthesis,2,6,32,104,0.004926108374,0.9999999846,0.9999999846,4,5,0.006747638327,0.0225810705,3702,Arabidopsis thaliana,AT3G57560;AT1G80600,AT3G57560;AT1G80600,AT2G39800;AT5G14060;AT5G24400;AT1G04170;AT5G14660;AT3G02875;AT1G31230;AT3G57560;AT5G54810;AT5G08280;AT5G56650;AT1G53310;AT4G19710;AT3G46740;AT1G24490;AT4G27070;AT2G28800;AT5G13280;AT1G80600;AT3G55610;AT4G18480;AT2G42600;AT5G46180;AT3G18030;AT3G52380;AT5G54140;AT1G51760;AT5G56660;AT1G44350;AT1G74960;AT3G14940;AT4G18730,AT2G19940;AT1G80600;AT4G17830;AT3G57560,R-ATH-1119784;R-ATH-1119721;R-ATH-1121171;R-ATH-1121004
R-ATH-1119436,Peptidoglycan biosynthesis I,0,4,17,71,0.00328407225,0.9999999898,0.9999999898,4,5,0.006747638327,-0.02492467053,3702,Arabidopsis thaliana,,,AT2G27490;AT5G41480;AT3G52750;AT4G18270;AT4G23290;AT2G36250;AT1G70530;AT5G23580;AT1G55610;AT2G41490;AT3G14370;AT1G75010;AT2G26930;AT4G01800;AT4G14580;AT5G55280;AT1G21650,AT1G63680;AT4G16710,R-ATH-1120868;R-ATH-1120897;R-ATH-1121391;R-ATH-1120870
R-ATH-1119407,Ureide biosynthesis,1,8,6,41,0.006568144499,0.9999999952,0.9999999952,2,5,0.006747638327,-0.2009807427,3702,Arabidopsis thaliana,AT5G58220,AT5G58220,AT5G58220;AT4G04955;AT2G26510;AT1G06570;AT5G45940;AT5G55170,AT2G26230;AT5G58220,R-ATH-1119772;R-ATH-1120547
R-ATH-5655149,Nucleotide metabolism,2,11,6,41,0.009031198686,0.9999999955,0.9999999955,3,6,0.008097165992,-0.1961639684,3702,Arabidopsis thaliana,AT5G58220;AT1G10700,AT5G58220;AT1G10700,AT5G58220;AT4G04955;AT2G26510;AT1G06570;AT5G45940;AT5G55170,AT2G26230;AT5G58220,R-ATH-1119772;R-ATH-1120547;R-ATH-1120700
R-ATH-1119501,S-adenosyl-L-methionine cycle,2,6,87,212,0.004926108374,0.9999999968,0.9999999968,2,3,0.004048582996,0.2659635775,3702,Arabidopsis thaliana,AT4G13940;AT3G17390,AT4G13940;AT3G17390,AT4G25100;AT4G27960;AT4G04640;AT3G54890;AT1G67740;AT1G09340;AT3G01280;AT5G14780;AT2G16600;AT5G53300;AT5G26880;AT3G54050;AT1G72610;AT2G36530;AT1G15820;AT5G64040;AT1G26630;AT4G05180;AT2G45960;AT1G72370;AT2G37270;AT5G09660;AT3G48560;AT2G41880;AT5G22800;AT2G36620;AT3G26650;AT4G05320;AT4G29350;AT4G09320;AT4G02890;AT2G39730;AT2G44160;AT2G46820;AT3G16140;AT3G12780;AT5G39740;AT2G27760;AT4G37930;AT4G34620;AT3G09260;AT4G35630;AT1G20620;AT1G29910;AT1G56070;AT3G02470;AT3G09820;AT3G02230;AT5G46110;AT5G20040;AT3G55440;AT3G53420;AT2G47170;AT1G04270;AT5G15650;AT1G66670;AT2G30570;AT1G29920;AT2G44050;AT3G61440;AT4G13930;AT4G34710;AT3G08580;AT4G34870;AT1G02560;AT3G11940;AT3G55800;AT3G13920;AT5G20720;AT5G44340;AT1G14320;AT3G49010;AT1G07890;AT1G33140;AT1G66200;AT3G59970;AT2G30860;AT2G38540;AT1G29930;AT4G35450;AT1G78900;AT3G16640;AT3G18780;AT3G16240;AT3G63190;AT3G11630;AT5G02500,AT3G17390,R-ATH-1121024;R-ATH-1121647
R-ATH-1119325,Sphingolipid metabolism,7,17,9,55,0.01395730706,0.9999999969,0.9999999969,7,8,0.01079622132,-0.1213628088,3702,Arabidopsis thaliana,AT5G23670;AT3G25540;AT1G69640;AT3G19260;AT4G21540;AT1G14290;AT3G48780,AT5G23670;AT3G25540;AT1G69640;AT3G19260;AT4G21540;AT1G14290;AT3G48780,AT4G36990;AT5G37600;AT3G27580;AT1G06080;AT2G30070;AT3G56850;AT1G05300;AT4G22220;AT2G31360,AT4G04930;AT1G27980;AT5G51290,R-ATH-9025489;R-ATH-9025528;R-ATH-1121356;R-ATH-9025495;R-ATH-9025522;R-ATH-9025506;R-ATH-1120287
R-ATH-9025754,Mugineic acid biosynthesis,1,5,87,212,0.004105090312,0.9999999976,0.9999999976,1,2,0.002699055331,0.2673782522,3702,Arabidopsis thaliana,AT3G17390,AT3G17390,AT4G25100;AT4G27960;AT4G04640;AT3G54890;AT1G67740;AT1G09340;AT3G01280;AT5G14780;AT2G16600;AT5G53300;AT5G26880;AT3G54050;AT1G72610;AT2G36530;AT1G15820;AT5G64040;AT1G26630;AT4G05180;AT2G45960;AT1G72370;AT2G37270;AT5G09660;AT3G48560;AT2G41880;AT5G22800;AT2G36620;AT3G26650;AT4G05320;AT4G29350;AT4G09320;AT4G02890;AT2G39730;AT2G44160;AT2G46820;AT3G16140;AT3G12780;AT5G39740;AT2G27760;AT4G37930;AT4G34620;AT3G09260;AT4G35630;AT1G20620;AT1G29910;AT1G56070;AT3G02470;AT3G09820;AT3G02230;AT5G46110;AT5G20040;AT3G55440;AT3G53420;AT2G47170;AT1G04270;AT5G15650;AT1G66670;AT2G30570;AT1G29920;AT2G44050;AT3G61440;AT4G13930;AT4G34710;AT3G08580;AT4G34870;AT1G02560;AT3G11940;AT3G55800;AT3G13920;AT5G20720;AT5G44340;AT1G14320;AT3G49010;AT1G07890;AT1G33140;AT1G66200;AT3G59970;AT2G30860;AT2G38540;AT1G29930;AT4G35450;AT1G78900;AT3G16640;AT3G18780;AT3G16240;AT3G63190;AT3G11630;AT5G02500,AT3G17390,R-ATH-9025770
R-ATH-1119424,Plastid glycolysis,4,6,24,93,0.004926108374,0.9999999982,0.9999999982,3,3,0.004048582996,0.2072782883,3702,Arabidopsis thaliana,AT3G26650;AT2G21170;AT1G47840;AT1G42970,AT3G26650;AT2G21170;AT1G47840;AT1G42970,AT3G04120;AT5G42270;AT5G24400;AT5G15250;AT3G27740;AT3G26650;AT2G30950;AT2G36530;AT1G16300;AT1G50250;AT3G12780;AT5G37510;AT1G06430;AT1G79530;AT1G42970;AT1G79550;AT1G74030;AT5G18070;AT2G29560;AT2G26140;AT1G29900;AT5G53170;AT2G45770;AT3G47060,AT2G21170,R-ATH-1168664;R-ATH-1168730;R-ATH-1168715
R-ATH-4827054,Tetrapyrrole biosynthesis I,3,6,62,170,0.004926108374,0.9999999987,0.9999999987,4,4,0.005398110661,0.3195869337,3702,Arabidopsis thaliana,AT1G69740;AT5G63570;AT5G08280,AT1G69740;AT5G63570;AT5G08280,AT2G34630;AT1G31190;AT1G64550;AT3G54890;AT1G80560;AT5G46290;AT3G57560;AT4G09650;AT1G15820;AT2G39290;AT4G05180;AT1G19150;AT1G17050;AT3G15360;AT5G28540;AT1G78510;AT1G31180;AT1G55490;AT5G42020;AT4G18480;AT1G35620;AT3G55030;AT5G60790;AT3G61470;AT4G13420;AT3G16140;AT1G79930;AT2G01110;AT1G29910;AT5G23310;AT5G46110;AT4G21280;AT5G14200;AT5G63570;AT3G02870;AT2G30570;AT4G23660;AT1G19800;AT5G08280;AT1G29920;AT1G50320;AT4G10340;AT1G01790;AT1G53310;AT1G69740;AT2G40690;AT4G03520;AT1G63970;AT3G55010;AT2G42600;AT4G32700;AT5G23140;AT3G52380;AT1G49760;AT1G29930;AT1G76760;AT1G16590;AT5G09650;AT5G55630;AT3G14940;AT1G03680;AT2G45270,AT5G08280;AT2G26540,R-ATH-4827045;R-ATH-4827058;R-ATH-4827076;R-ATH-4827063
R-ATH-1119328,Oleoresin sesquiterpene volatiles biosynthesis,1,1,16,79,8.21E-04,0.9999999998,0.9999999998,1,1,0.001349527665,-0.02786138659,3702,Arabidopsis thaliana,AT1G79460,AT1G79460,AT1G58360;AT5G22740;AT5G17520;AT5G05170;AT1G47960;AT2G36390;AT2G28900;AT5G64740;AT3G46970;AT5G09870;AT4G27180;AT1G78680;AT1G20440;AT4G31590;AT2G42880;AT5G58670,AT1G79460,R-ATH-1120850
R-ATH-9610720,Oryzalide A biosynthesis,1,1,16,79,8.21E-04,0.9999999998,0.9999999998,1,1,0.001349527665,-0.02786138659,3702,Arabidopsis thaliana,AT1G79460,AT1G79460,AT1G58360;AT5G22740;AT5G17520;AT5G05170;AT1G47960;AT2G36390;AT2G28900;AT5G64740;AT3G46970;AT5G09870;AT4G27180;AT1G78680;AT1G20440;AT4G31590;AT2G42880;AT5G58670,AT1G79460,R-ATH-9610717
R-ATH-1119371,Oryzalexin A-F biosynthesis,1,1,16,79,8.21E-04,0.9999999998,0.9999999998,1,1,0.001349527665,-0.02786138659,3702,Arabidopsis thaliana,AT1G79460,AT1G79460,AT1G58360;AT5G22740;AT5G17520;AT5G05170;AT1G47960;AT2G36390;AT2G28900;AT5G64740;AT3G46970;AT5G09870;AT4G27180;AT1G78680;AT1G20440;AT4G31590;AT2G42880;AT5G58670,AT1G79460,R-ATH-1119702
R-ATH-1119583,Phytocassane biosynthesis,1,1,16,79,8.21E-04,0.9999999998,0.9999999998,1,1,0.001349527665,-0.02786138659,3702,Arabidopsis thaliana,AT1G79460,AT1G79460,AT1G58360;AT5G22740;AT5G17520;AT5G05170;AT1G47960;AT2G36390;AT2G28900;AT5G64740;AT3G46970;AT5G09870;AT4G27180;AT1G78680;AT1G20440;AT4G31590;AT2G42880;AT5G58670,AT1G79460,R-ATH-1120033
R-ATH-1119308,Momilactone biosynthesis,1,2,16,80,0.001642036125,0.9999999999,0.9999999999,1,2,0.002699055331,-0.02786138659,3702,Arabidopsis thaliana,AT1G79460,AT1G79460,AT1G58360;AT5G22740;AT5G17520;AT5G05170;AT1G47960;AT2G36390;AT2G28900;AT5G64740;AT3G46970;AT5G09870;AT4G27180;AT1G78680;AT1G20440;AT4G31590;AT2G42880;AT5G58670,AT1G79460,R-ATH-1120094
R-ATH-1119348,Ent-kaurene biosynthesis,1,2,16,80,0.001642036125,0.9999999999,0.9999999999,1,2,0.002699055331,-0.02786138659,3702,Arabidopsis thaliana,AT1G79460,AT1G79460,AT1G58360;AT5G22740;AT5G17520;AT5G05170;AT1G47960;AT2G36390;AT2G28900;AT5G64740;AT3G46970;AT5G09870;AT4G27180;AT1G78680;AT1G20440;AT4G31590;AT2G42880;AT5G58670,AT1G79460,R-ATH-1120262
R-ATH-2894886,Cellular processes,37,58,56,175,0.04761904762,1,1,26,26,0.0350877193,0.06438781151,3702,Arabidopsis thaliana,AT1G44900;AT2G29680;AT5G22220;AT1G08130;AT2G37560;AT4G02060;AT3G50070;AT2G36010;AT2G20980;AT1G70210;AT5G02470;AT1G47870;AT1G78650;AT2G01120;AT5G03415;AT5G67260;AT4G29910;AT2G29570;AT5G16690;AT3G25100;AT5G27620;AT1G07370;AT5G27740;AT5G22110;AT5G65420;AT5G49010;AT5G67100;AT1G80190;AT3G12280;AT1G26840;AT5G10440;AT4G34160;AT1G73690;AT3G48750;AT2G22490;AT1G77470;AT2G07690,AT1G44900;AT2G29680;AT5G22220;AT1G08130;AT2G37560;AT4G02060;AT3G50070;AT2G36010;AT2G20980;AT1G70210;AT5G02470;AT1G47870;AT1G78650;AT2G01120;AT5G03415;AT5G67260;AT4G29910;AT2G29570;AT5G16690;AT3G25100;AT5G27620;AT1G07370;AT5G27740;AT5G22110;AT5G65420;AT5G49010;AT5G67100;AT1G80190;AT3G12280;AT1G26840;AT5G10440;AT4G34160;AT1G73690;AT3G48750;AT2G22490;AT1G77470;AT2G07690,AT2G31320;AT4G27800;AT4G04920;AT1G34460;AT5G44750;AT2G01905;AT5G11300;AT3G13380;AT5G06150;AT4G26080;AT1G72770;AT5G61410;AT2G44750;AT2G41880;AT3G11520;AT5G19280;AT5G67260;AT2G27490;AT4G21070;AT5G27640;AT5G25780;AT5G25380;AT5G58003;AT1G22280;AT2G25620;AT4G37490;AT2G26430;AT4G31750;AT1G77390;AT1G14750;AT1G16330;AT3G50070;AT4G25120;AT1G52500;AT1G76310;AT1G70210;AT4G17970;AT1G02880;AT5G57160;AT4G36650;AT5G20990;AT1G15570;AT1G17550;AT5G65420;AT3G57550;AT2G30020;AT1G50430;AT4G34160;AT5G10440;AT2G41630;AT2G22490;AT5G02100;AT1G05300;AT5G57050;AT2G29120;AT4G37630,AT3G25100;AT5G26680;AT3G48750;AT3G12530;AT1G08840;AT5G27620;AT1G80190;AT1G77320;AT3G12280,R-ATH-9640870;R-ATH-9675804;R-ATH-9675801;R-ATH-9675800;R-ATH-9675841;R-ATH-9640766;R-ATH-9675817;R-ATH-9640693;R-ATH-9640682;R-ATH-9640851;R-ATH-9675791;R-ATH-9675780;R-ATH-9645996;R-ATH-9645988;R-ATH-9645961;R-ATH-9675890;R-ATH-9645934;R-ATH-9675887;R-ATH-9645867;R-ATH-9675879;R-ATH-9645813;R-ATH-9640674;R-ATH-9675814;R-ATH-9675867;R-ATH-9675859;R-ATH-9675853
