reactome ,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,col1,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-ATH-5679411,Gibberellin signaling,13,24,0,0,0.0197044335,0.8615471406,0.9996689194,6,7,0.009446693657,0.1133460832,3702,Arabidopsis thaliana,AT3G03450;AT5G17490;AT3G05120;AT5G27320;AT1G66350;AT1G14920;AT1G03840;AT3G59060;AT3G63010;AT2G01940;AT5G03150;AT2G01570;AT2G43010,AT3G03450;AT5G17490;AT3G05120;AT5G27320;AT1G66350;AT1G14920;AT1G03840;AT3G59060;AT3G63010;AT2G01940;AT5G03150;AT2G01570;AT2G43010,,,R-ATH-5679370;R-ATH-5679456;R-ATH-5679416;R-ATH-5679414;R-ATH-5679392;R-ATH-5679384
R-ATH-1119498,Phylloquinone biosynthesis,2,3,5,11,0.002463054187,0.8618391884,0.9996689194,2,2,0.002699055331,0.2273452377,3702,Arabidopsis thaliana,AT3G01280;AT5G15090,AT3G01280;AT5G15090,AT1G65520;AT1G18870;AT1G74710;AT4G14440;AT3G21720,AT1G60550,R-ATH-4752562;R-ATH-1120662
R-ATH-9607185,Generation of superoxide radicals,2,4,0,1,0.00328407225,0.8668837355,0.9996689194,3,3,0.004048582996,-0.044190712,3702,Arabidopsis thaliana,AT1G64060;AT1G09090,AT1G64060;AT1G09090,,,R-ATH-9607172;R-ATH-9607083;R-ATH-9607109
R-ATH-8858053,Polar auxin transport,2,5,0,0,0.004105090312,0.8668837355,0.9996689194,2,2,0.002699055331,0.308106269,3702,Arabidopsis thaliana,AT5G57090;AT5G24380,AT5G57090;AT5G24380,,,R-ATH-8858107;R-ATH-8858079
R-ATH-1119563,UDP-D-xylose biosynthesis,2,5,0,0,0.004105090312,0.8668837355,0.9996689194,1,1,0.001349527665,-0.0597249725,3702,Arabidopsis thaliana,AT3G46440;AT5G59290,AT3G46440;AT5G59290,,,R-ATH-1119681
R-ATH-1119484,Folate polyglutamylation II,2,5,0,0,0.004105090312,0.8668837355,0.9996689194,1,2,0.002699055331,-0.092595647,3702,Arabidopsis thaliana,AT1G78680;AT1G78660,AT1G78680;AT1G78660,,,R-ATH-1121206
R-ATH-1119271,Threonine degradation,2,5,0,0,0.004105090312,0.8668837355,0.9996689194,1,2,0.002699055331,-1.542871175,3702,Arabidopsis thaliana,AT1G08630;AT3G04520,AT1G08630;AT3G04520,,,R-ATH-9029392
R-ATH-1119514,Anthocyanin biosynthesis (delphinidin 3-O-glucoside),1,1,2,6,8.21E-04,0.8699703087,0.9996689194,1,1,0.001349527665,0.2561756827,3702,Arabidopsis thaliana,AT4G22880,AT4G22880,AT1G06570;AT5G42800,AT4G22880,R-ATH-1120736
R-ATH-1119440,"Anthocyanin biosynthesis (pelargonidin 3-O-glucoside, cyanidin 3-O-glucoside)",1,1,2,6,8.21E-04,0.8699703087,0.9996689194,1,1,0.001349527665,0.2561756827,3702,Arabidopsis thaliana,AT4G22880,AT4G22880,AT1G06570;AT5G42800,AT4G22880,R-ATH-1119807
R-ATH-1119342,Gamma-glutamyl cycle,2,2,6,14,0.001642036125,0.8744177886,0.9996689194,2,2,0.002699055331,0.023327686,3702,Arabidopsis thaliana,AT5G37830;AT5G27380,AT5G37830;AT5G27380,AT5G47990;AT3G02380;AT2G23600;AT2G23590;AT4G05050;AT2G27450,AT5G37830;AT5G27380,R-ATH-1120163;R-ATH-1119734
R-ATH-3899351,Abscisic acid (ABA) mediated signaling,8,10,0,6,0.008210180624,0.8744177886,0.9996689194,3,4,0.005398110661,-0.3141864478,3702,Arabidopsis thaliana,AT1G12480;AT4G26080;AT1G72770;AT3G50500;AT1G17550;AT4G33950;AT5G66880;AT5G57050,AT1G12480;AT4G26080;AT1G72770;AT3G50500;AT1G17550;AT4G33950;AT5G66880;AT5G57050,,,R-ATH-3899370;R-ATH-3899340;R-ATH-3899352
R-ATH-9638808,Response to salinity,8,10,0,6,0.008210180624,0.8744177886,0.9996689194,3,4,0.005398110661,-0.3141864478,3702,Arabidopsis thaliana,AT1G12480;AT4G26080;AT1G72770;AT3G50500;AT1G17550;AT4G33950;AT5G66880;AT5G57050,AT1G12480;AT4G26080;AT1G72770;AT3G50500;AT1G17550;AT4G33950;AT5G66880;AT5G57050,,,R-ATH-3899370;R-ATH-3899340;R-ATH-3899352
R-ATH-9623744,Response to Drought,8,10,0,6,0.008210180624,0.8744177886,0.9996689194,3,4,0.005398110661,-0.3141864478,3702,Arabidopsis thaliana,AT1G12480;AT4G26080;AT1G72770;AT3G50500;AT1G17550;AT4G33950;AT5G66880;AT5G57050,AT1G12480;AT4G26080;AT1G72770;AT3G50500;AT1G17550;AT4G33950;AT5G66880;AT5G57050,,,R-ATH-3899370;R-ATH-3899340;R-ATH-3899352
