OSD, Sample,growth time (Days),Ground Control,genotype realtive to WT Col-0
OSD-37, Atha_Col-0_sl-pool_FLT_Rep1_R1-FL-A1,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_FLT_Rep2_R1-FL-A4,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_FLT_Rep3_R1-FL-B1,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_FLT_Rep4_R1-FL-B4,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4,8,Space Flight,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1,8,Ground Control,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4,8,Ground Control,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1,8,Ground Control,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4,8,Ground Control,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1,8,Ground Control,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4,8,Ground Control,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1,8,Ground Control,Wild Type
OSD-37, Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4,8,Ground Control,Wild Type
OSD-37, Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3,8,Space Flight,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2,8,Space Flight,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5,8,Space Flight,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_FLT_Rep4_R2-FL-C3,8,Space Flight,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_FLT_Rep5_R2-FL-D2,8,Space Flight,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_FLT_Rep6_R2-FL-D5,8,Space Flight,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3,8,Ground Control,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2,8,Ground Control,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5,8,Ground Control,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_GC_Rep4_R2-GC-C3,8,Ground Control,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_GC_Rep5_R2-GC-D2,8,Ground Control,Cvi-0
OSD-37, Atha_Cvi-0_sl-pool_GC_Rep6_R2-GC-D5,8,Ground Control,Cvi-0
OSD-37, Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2,8,Space Flight,Ler-0
OSD-37, Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5,8,Space Flight,Ler-0
OSD-37, Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3,8,Space Flight,Ler-0
OSD-37, Atha_Ler-0_sl-pool_FLT_Rep4_R2-FL-C2,8,Space Flight,Ler-0
OSD-37, Atha_Ler-0_sl-pool_FLT_Rep5_R2-FL-C5,8,Space Flight,Ler-0
OSD-37, Atha_Ler-0_sl-pool_FLT_Rep6_R2-FL-D3,8,Space Flight,Ler-0
OSD-37, Atha_Ler-0_sl-pool_GC_Rep1_R1-GC-C2,8,Ground Control,Ler-0
OSD-37, Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5,8,Ground Control,Ler-0
OSD-37, Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3,8,Ground Control,Ler-0
OSD-37, Atha_Ler-0_sl-pool_GC_Rep4_R2-GC-C2,8,Ground Control,Ler-0
OSD-37, Atha_Ler-0_sl-pool_GC_Rep5_R2-GC-C5,8,Ground Control,Ler-0
OSD-37, Atha_Ler-0_sl-pool_GC_Rep6_R2-GC-D3,8,Ground Control,Ler-0
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep6_R2-FL-C4,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep7_R2-FL-D1,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_FLT_Rep8_R2-FL-D4,8,Space Flight,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1,8,Ground Control,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4,8,Ground Control,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1,8,Ground Control,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4,8,Ground Control,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep5_R2-GC-C1,8,Ground Control,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep6_R2-GC-C4,8,Ground Control,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep7_R2-GC-D1,8,Ground Control,Ws-2
OSD-37, Atha_Ws-2_sl-pool_GC_Rep8_R2-GC-D4,8,Ground Control,Ws-2
OSD-38, Atha_WT-Col-0_sl_FLT_Rep1_G1S1,3,Space Flight,Wild Type
OSD-38, Atha_WT-Col-0_sl_FLT_Rep2_G1S2,3,Space Flight,Wild Type
OSD-38, Atha_WT-Col-0_sl_FLT_Rep3_G1S3,3,Space Flight,Wild Type
OSD-38, Atha_WT-Col-0_sl_GC_Rep1_G2S1,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_GC_Rep2_G2S2,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_GC_Rep3_G2S3,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_LN2_Rep1_n2-1,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_LN2_Rep2_n2-2,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_LN2_Rep3_n2-3,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_RNAlat_Rep1_rl1,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_RNAlat_Rep2_rl2,3,Ground Control,Wild Type
OSD-38, Atha_WT-Col-0_sl_RNAlat_Rep3_rl3,3,Ground Control,Wild Type
OSD-120, Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777_Day13,13,Space Flight,Wild Type
OSD-120, Atha_Col-0_root_FLT_Alight_Rep2_GSM2493778_Day13,13,Space Flight,Wild Type
OSD-120, Atha_Col-0_root_FLT_Alight_Rep3_GSM2493779_Day13,13,Space Flight,Wild Type
OSD-120, Atha_Col-0_root_FLT_dark_Rep1_GSM2493786_Day13,13,Space Flight,Wild Type
OSD-120, Atha_Col-0_root_FLT_dark_Rep2_GSM2493787_Day13,13,Space Flight,Wild Type
OSD-120, Atha_Col-0_root_FLT_dark_Rep3_GSM2493788_Day13,13,Space Flight,Wild Type
OSD-120, Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day13,13,Ground Control,Wild Type
OSD-120, Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day13,13,Ground Control,Wild Type
OSD-120, Atha_Col-0_root_GC_Alight_Rep3_GSM2493761_Day13,13,Ground Control,Wild Type
OSD-120, Atha_Col-0_root_GC_dark_Rep1_GSM2493768_Day13,13,Ground Control,Wild Type
OSD-120, Atha_Col-0_root_GC_dark_Rep2_GSM2493769_Day13,13,Ground Control,Wild Type
