Sample,Atha_Col-0_sl-pool_FLT_Rep1_R1-FL-A1,Atha_Col-0_sl-pool_FLT_Rep2_R1-FL-A4,Atha_Col-0_sl-pool_FLT_Rep3_R1-FL-B1,Atha_Col-0_sl-pool_FLT_Rep4_R1-FL-B4,Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1,Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4,Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1,Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4,Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1,Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4,Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1,Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4,Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1,Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4,Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1,Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4,Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3,Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2,Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5,Atha_Cvi-0_sl-pool_FLT_Rep4_R2-FL-C3,Atha_Cvi-0_sl-pool_FLT_Rep5_R2-FL-D2,Atha_Cvi-0_sl-pool_FLT_Rep6_R2-FL-D5,Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3,Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2,Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5,Atha_Cvi-0_sl-pool_GC_Rep4_R2-GC-C3,Atha_Cvi-0_sl-pool_GC_Rep5_R2-GC-D2,Atha_Cvi-0_sl-pool_GC_Rep6_R2-GC-D5,Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2,Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5,Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3,Atha_Ler-0_sl-pool_FLT_Rep4_R2-FL-C2,Atha_Ler-0_sl-pool_FLT_Rep5_R2-FL-C5,Atha_Ler-0_sl-pool_FLT_Rep6_R2-FL-D3,Atha_Ler-0_sl-pool_GC_Rep1_R1-GC-C2,Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5,Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3,Atha_Ler-0_sl-pool_GC_Rep4_R2-GC-C2,Atha_Ler-0_sl-pool_GC_Rep5_R2-GC-C5,Atha_Ler-0_sl-pool_GC_Rep6_R2-GC-D3,Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1,Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4,Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1,Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4,Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1,Atha_Ws-2_sl-pool_FLT_Rep6_R2-FL-C4,Atha_Ws-2_sl-pool_FLT_Rep7_R2-FL-D1,Atha_Ws-2_sl-pool_FLT_Rep8_R2-FL-D4,Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1,Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4,Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1,Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4,Atha_Ws-2_sl-pool_GC_Rep5_R2-GC-C1,Atha_Ws-2_sl-pool_GC_Rep6_R2-GC-C4,Atha_Ws-2_sl-pool_GC_Rep7_R2-GC-D1,Atha_Ws-2_sl-pool_GC_Rep8_R2-GC-D4,Atha_WT-Col-0_sl_FLT_Rep1_G1S1,Atha_WT-Col-0_sl_FLT_Rep2_G1S2,Atha_WT-Col-0_sl_FLT_Rep3_G1S3,Atha_WT-Col-0_sl_GC_Rep1_G2S1,Atha_WT-Col-0_sl_GC_Rep2_G2S2,Atha_WT-Col-0_sl_GC_Rep3_G2S3,Atha_WT-Col-0_sl_LN2_Rep1_n2-1,Atha_WT-Col-0_sl_LN2_Rep2_n2-2,Atha_WT-Col-0_sl_LN2_Rep3_n2-3,Atha_WT-Col-0_sl_RNAlat_Rep1_rl1,Atha_WT-Col-0_sl_RNAlat_Rep2_rl2,Atha_WT-Col-0_sl_RNAlat_Rep3_rl3,Atha_Col-0_root_GC_Alight_Rep3_GSM2493761_Day13,Atha_Col-0_root_GC_dark_Rep2_GSM2493769_Day13,Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777_Day13,Atha_Col-0_root_FLT_dark_Rep2_GSM2493787_Day13,Atha_Ws_root_FLT_dark_Rep3_GSM2493791_Day13,Atha_Col-0_root_GC_dark_Rep1_GSM2493768_Day13,Atha_Ws_root_FLT_Alight_Rep2_GSM2493781_Day13,Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785_Day13,Atha_Ws_root_GC_Alight_Rep1_GSM2493762_Day13,Atha_Col-0-PhyD_root_GC_dark_Rep2_GSM2493775_Day13,Atha_Col-0_root_FLT_Alight_Rep2_GSM2493778_Day13,Atha_Col-0-PhyD_root_FLT_dark_Rep1_GSM2493792_Day13,Atha_Col-0-PhyD_root_GC_Alight_Rep2_GSM2493766_Day13,Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784_Day13,Atha_Col-0_root_FLT_dark_Rep1_GSM2493786_Day13,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day13,Atha_Ws_root_GC_Alight_Rep3_GSM2493764_Day13,Atha_Col-0-PhyD_root_GC_Alight_Rep1_GSM2493765_Day13,Atha_Ws_root_FLT_Alight_Rep1_GSM2493780_Day13,Atha_Ws_root_FLT_Alight_Rep3_GSM2493782_Day13,Atha_Col-0_root_FLT_Alight_Rep3_GSM2493779_Day13,Atha_Ws_root_FLT_dark_Rep2_GSM2493790_Day13,Atha_Col-0_root_GC_dark_Rep3_GSM2493770_Day13,Atha_Ws_root_GC_dark_Rep3_GSM2493773_Day13,Atha_Col-0-PhyD_root_GC_dark_Rep1_GSM2493774_Day13,Atha_Col-0_root_FLT_dark_Rep3_GSM2493788_Day13,Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day13,Atha_Col-0-PhyD_root_FLT_dark_Rep2_GSM2493793_Day13,Atha_Col-0-PhyD_root_FLT_dark_Rep3_GSM2493794_Day13,Atha_Ws_root_GC_dark_Rep1_GSM2493771_Day13,Atha_Ws_root_GC_dark_Rep2_GSM2493772_Day13,Atha_Col-0-PhyD_root_GC_dark_Rep3_GSM2493776_Day13,Atha_Ws_root_FLT_dark_Rep1_GSM2493789_Day13,Atha_Ws_root_GC_Alight_Rep2_GSM2493763_Day13,Atha_Col-0-PhyD_root_GC_Alight_Rep3_GSM2493767_Day13,Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day13,GSM2516735,GSM2516736,GSM2516737,GSM2516738,GSM2516739,GSM2516740,GSM2516741,GSM2516742,GSM2516743,GSM2516744,GSM2516745,GSM2516746,GSM2516747,GSM2516748,GSM2516749,GSM2516750,GSM2516751,GSM2516752,GSM2516753,GSM2516754,GSM2516755,GSM2516756,GSM2516757,GSM2516758,GSM2516759,GSM2516760,GSM2516761,GSM2516762,GSM2516763,GSM2516764,GSM2516765,GSM2516766,Atha_Ws_leaf_FLT_Rep1,Atha_Ws_leaf_FLT_Rep2,Atha_Ws_leaf_FLT_Rep3,Atha_Ws_leaf_GC_Rep1,Atha_Ws_leaf_GC_Rep2,Atha_Ws_leaf_GC_Rep3,Atha_Ws_root_FLT_Rep1,Atha_Ws_root_FLT_Rep2,Atha_Ws_root_FLT_Rep3,Atha_Ws_root_GC_Rep1,Atha_Ws_root_GC_Rep2,Atha_Ws_root_GC_Rep3,SAMN06465142,SAMN06465155,SAMN06465157,SAMN06465144,SAMN06465146,SAMN06465148,SAMN06465150,SAMN06465152,SAMN06465160,SAMN06465163,SAMN06465165,SAMN06465168,SAMN06465170,SAMN06465172,SAMN06465174,SAMN06465177,SAMN06465183,SAMN06465187,SAMN06465190,SAMN06465194,SAMN06465197,SAMN06465179,SAMN06465181,SAMN06465201,SAMN06465267,SAMN06465268,SAMN06465269,SAMN06465270,SAMN06465272,SAMN06465273,SAMN06465275,SAMN06465276,SAMN06468812,SAMN06468813,SAMN06468814,SAMN06468815,SAMN06468817,SAMN06468827,SAMN06468819,SAMN06468820,SAMN06468821,SAMN06468825,SAMN06468823,SAMN06468816,SAMN06468818,SAMN06468822,SAMN06468826,SAMN06468824,SAMN06468832,SAMN06468833,SAMN06468830,SAMN06468839,SAMN06468836,SAMN06468831,SAMN06468837,SAMN06468834,SAMN06468835,SAMN06468829,SAMN06468828,SAMN06468838,SAMN06468840,SAMN06468841,SAMN06468842,SAMN06468844,GSM3331071,GSM3331072,GSM3331073,GSM3331074,GSM3331075,GSM3331076,GSM3331077,GSM3331078,GSM3331079,GSM3331080,GSM3331081,GSM3331082,GSM3331083,GSM3331084,GSM3331085,GSM3331086,GSM3331087,GSM3331088,GSM3331089,GSM3331090,GSM3331091,GSM3331092,GSM3331093,GSM3331094,GSM3331095,GSM3331096,GSM3331097,GSM3331098,GSM3331099,GSM3331100,GSM3331101,GSM3331102,GSM3331103,GSM3331104,GSM3331105,GSM3331106,GSM3331107,GSM3331108,GSM3331109,GSM3331110,GSM3331111,GSM3331112,GSM3331113,GSM3331114,GSM3331115,GSM3331116,GSM3331117,GSM3331118
Growth time (days),8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,3,3,3,3,3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Genotype realtive to Col,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ws-2,Ws-2,Ws-2,Ws-2,Ws-2,Ws-2,Ws-2,Ws-2,Ws-2,Ws-2,Ws-2,Ws-2,Ws-2,Ws-2,Ws-2,Ws-2,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Col_PhyD,Col_PhyD,Col_PhyD,Col_PhyD,Col_PhyD,Col_PhyD,Col_PhyD,Col_PhyD,Col_PhyD,Col_PhyD,Col_PhyD,Col_PhyD,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Col_Sku6,Col_Sku6,Col_Sku6,Col_Sku6,Col_Sku6,Col_Sku6,Col_Sku6,Col_Sku6,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Col_Sku6,Col_Sku6,Col_Sku6,Col_Sku6,Col_Sku6,Col_Sku6,Col_Sku6,Col_Sku6,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,WS,WS,WS,WS,WS,WS,WS,WS_Sku5,WS_Sku5,WS,WS_Sku5,WS_Sku5,WS_Sku5,WS_Sku5,WS_Sku5,WS_Sku5,WS,WS,WS,WS_Sku5,WS,WS,WS_Sku5,WS,WS,WS_Sku5,WS,WS_Sku5,WS_Sku5,WS_Sku5,WS_Sku5,WS_Sku5,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Wild_Type,Col_elp-5,Col_elp-5,Col_elp-5,Col_elp-5,Col_elp-5,Col_elp-5,Col_elp-5,Col_elp-5,Col_elp-5,Col_elp-5,Col_elp-5,Col_elp-5,Col_elp-5,Col_elp-5,Col_elp-5,Col_elp-5,Col_met1-7,Col_met1-7,Col_met1-7,Col_met1-7,Col_met1-7,Col_met1-7,Col_met1-7,Col_met1-7,Col_met1-7,Col_met1-7,Col_met1-7,Col_met1-7,Col_met1-7,Col_met1-7,Col_met1-7,Col_met1-7
Organism part,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Etiolated_Seedling,Plant_Root_Tip,Plant_Root_Tip,Plant_Root_Tip,Etiolated_Seedling_Root_Tip,Etiolated_Seedling_Root_Tip,Etiolated_Seedling_Root_Tip,Plant_Root_Tip,Plant_Root_Tip,Plant_Root_Tip,Etiolated_Seedling_Root_Tip,Etiolated_Seedling_Root_Tip,Etiolated_Seedling_Root_Tip,Plant_Root_Tip,Plant_Root_Tip,Plant_Root_Tip,Etiolated_Seedling_Root_Tip,Etiolated_Seedling_Root_Tip,Etiolated_Seedling_Root_Tip,Plant_Root_Tip,Plant_Root_Tip,Plant_Root_Tip,Etiolated_Seedling_Root_Tip,Etiolated_Seedling_Root_Tip,Etiolated_Seedling_Root_Tip,Plant_Root_Tip,Plant_Root_Tip,Plant_Root_Tip,Etiolated_Seedling_Root_Tip,Etiolated_Seedling_Root_Tip,Etiolated_Seedling_Root_Tip,Plant_Root_Tip,Plant_Root_Tip,Plant_Root_Tip,Etiolated_Seedling_Root_Tip,Etiolated_Seedling_Root_Tip,Etiolated_Seedling_Root_Tip,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Shoots,Plant_Roots,Plant_Roots,Plant_Roots,Plant_Roots
Accession,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-37,OSD-38,OSD-38,OSD-38,OSD-38,OSD-38,OSD-38,OSD-38,OSD-38,OSD-38,OSD-38,OSD-38,OSD-38,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-120,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-193,OSD-217,OSD-217,OSD-217,OSD-217,OSD-217,OSD-217,OSD-217,OSD-217,OSD-217,OSD-217,OSD-217,OSD-217,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-218,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-281,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427,OSD-427
Treatment,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Ground_Control,Space_Flight,Ground_Control,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Space_Flight,Ground_Control,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Space_Flight,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control,Ground_Control
